name,price,url,table_vals,description
Auchentoshan Blood Oak 14 Year Single Malt 700ml w/ Gift Box,127.5,https://www.paneco.com.sg/products/auchentoshan-blood-oak-14-year-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""46.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Auchentoshan"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  Auchentoshan Blood Oak earned its name as the result of being aged in bourbon and red wine casks, giving it deep crimson hues. Part of our Global Travel Retail Exclusives range, it packs a punch of spice with notes of red fruit and ginger. Deep crimson gold, rich and enticing with raspberry, damson plum, vanilla and maraschino cherry. Sweet and tannic with a burst of blood orange, nutmeg and ginger. Long finish with redcurrant and the lingering warmth of oak spice.
                "
Auchentoshan Blood Oak Single Malt 1L w/Gift Box,174.95,https://www.paneco.com.sg/products/auchentoshan-blood-oak-single-malt-1l-w-gift-box,"{""Alcohol percentage"": ""46.0"", ""Bottle volume ml"": ""1000ml"", ""Brand"": ""Auchentoshan"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  Auchentoshan Blood Oak is matured in a combination of bourbon and red-wine casks. Spicy with notes of red fruit and ginger.
                "
Auchentoshan Dark Oak Single Malt 1L w/Gift Box,148.9,https://www.paneco.com.sg/products/auchentoshan-dark-oak-single-malt-1l-w-gift-box,"{""Alcohol percentage"": ""43.0"", ""Bottle volume ml"": ""1000ml"", ""Brand"": ""Auchentoshan"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
Auchentoshan Dark Oak is triple-distilled for smoothness then mellowed in bourbon, Oloroso and Pedro Ximenez sherry casks for added complexity.The result is a lively and refined malt with notes of vanilla and red fruits.
                "
Auchentoshan Heartwood Single Malt 1L w/Gift Box,124.5,https://www.paneco.com.sg/products/auchentoshan-heartwood-single-malt-1l-w-gift-box,"{""Alcohol percentage"": ""43.0"", ""Bottle volume ml"": ""1000ml"", ""Brand"": ""Auchentoshan"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  Auchentoshan Heartwood is made with triple distilled single malt Scotch whisky which has been matured in both Oloroso Sherry casks and bourbon casks, resulting in a very well balanced expression from the Lowland distillery.
                "
Auchentoshan Springwood Single Malt 1L w/Gift Box,99,https://www.paneco.com.sg/products/auchentoshan-springwood-single-malt-1l-w-gift-box,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""1000ml"", ""Brand"": ""Auchentoshan"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  Springwood takes its name from the new wood growth that is laid down in the height of the season. Fittingly, Auchentoshan chooses only the finest North American oak hogshead and barrels - casks which once held American bourbon - and as the liquid ages through the years, spirit and wood work together to build their Springwood׳s character.
                "
Auchentoshan Three Wood Single Malt 700ml w/Gift Box,109.8,https://www.paneco.com.sg/products/auchentoshan-three-wood-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""43.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Auchentoshan"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
This award-winning Auchentoshan has been matured in three different cask types.From American Bourbon to Spanish Oloroso Sherry - and finally Pedro Ximenez Sherry casks - this is a rich, complex whisky with toffee and sherry flavours.Three Wood makes a cracking Auchentoshan & Ale, a mean Old Fashioned and a damn fine dram.
                "
Auchroisk 10 Year Old Flora & Fauna 700ml,151,https://www.paneco.com.sg/products/auchroisk-10-year-flora-fauna-single-malt-700ml,"{""Alcohol percentage"": ""43.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Auchroisk"", ""Gift box"": ""No"", ""Country of origin"": ""Scotland""}","
A smooth apéritif whisky which is pleasant and light. It opens up to reveal a sweet and fresh nutty seeds. The finishing is short but well balanced.Auchroisk works best served in a traditional whisky glass, neat or with a little water.
                "
Aultmore 12 Year Single Malt 1L w/Gift Box,149.5,https://www.paneco.com.sg/products/aultmore-12-year-single-malt-1l-w-gift-box,"{""Alcohol percentage"": ""46.0"", ""Bottle volume ml"": ""1000ml"", ""Brand"": ""Aultmore"", ""Gift box"": ""No"", ""Country of origin"": ""Scotland""}","
                  Aultmore 12 year was unveiled in 2014 for the Last Great Malts by Dewar's. A refreshing dram, with plenty of vanilla, honey and citrus, alongside a touch of grassiness. 
                "
Aultmore 12 Year Single Malt 700ml w/Gift Box,117.9,https://www.paneco.com.sg/products/aultmore-12-year-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""46.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Aultmore"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  Aultmore 12 year was unveiled in 2014 for the Last Great Malts by Dewar's. A refreshing dram, with plenty of vanilla, honey and citrus, alongside a touch of grassiness. 
                "
Aultmore 18 Year Single Malt 700ml w/Gift Box,188,https://www.paneco.com.sg/products/aultmore-18-year-single-malt-1l-w-gift-box,"{""Alcohol percentage"": ""46.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Aultmore"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  Aultmore 18 year was launched in 2015 as part of John Dewar & Sons' Last Great Malts ranges. This single malt whisky from Speyside is aged for 18 years in American white oak casks. It is evocative of ethereal summer nights where the air is filled with aromas of rosemary and olive olive.
                "
